comm_name_orig,sci_name_orig,level,sci_name,comm_name,type,class,order,family,genus
Langosta caribe,Panulirus inflatus,species,Panulirus inflatus,Blue spiny lobster,invert,Malacostraca,Decapoda,Palinuridae,Panulirus
Langosta azul,Panulirus inflatus,species,Panulirus inflatus,Blue spiny lobster,invert,Malacostraca,Decapoda,Palinuridae,Panulirus
Langosta roja,Panulirus interruptus,species,Panulirus interruptus,Mexican spiny loster,invert,Malacostraca,Decapoda,Palinuridae,Panulirus
Langosta,Panulirus sp,group,Panulirus sp,NA,NA,NA,NA,NA,NA
Extranjero,Paralabrax auroguttatus,species,Paralabrax auroguttatus,Goldspotted sand bass,fish,Actinopterygii,Perciformes,Serranidae,Paralabrax
Joselillo,Paralabrax auroguttatus,species,Paralabrax auroguttatus,Goldspotted sand bass,fish,Actinopterygii,Perciformes,Serranidae,Paralabrax
Cabrilla habanera,Paralabrax auroguttatus,species,Paralabrax auroguttatus,Goldspotted sand bass,fish,Actinopterygii,Perciformes,Serranidae,Paralabrax
Lucio,Paralabrax auroguttatus,species,Paralabrax auroguttatus,Goldspotted sand bass,fish,Actinopterygii,Perciformes,Serranidae,Paralabrax
Lucero,Paralabrax loro,species,Paralabrax loro,Parrot sand bass,fish,Actinopterygii,Perciformes,Serranidae,Paralabrax
Cabrilla de roca,Paralabrax maculatofasciatus,species,Paralabrax maculatofasciatus,Spotted sand bass,fish,Actinopterygii,Perciformes,Serranidae,Paralabrax
Cabrilla prieta,Paralabrax maculatofasciatus,species,Paralabrax maculatofasciatus,Spotted sand bass,fish,Actinopterygii,Perciformes,Serranidae,Paralabrax
Verdillo,Paralabrax nebulifer,species,Paralabrax nebulifer,Barred sand bass,fish,Actinopterygii,Perciformes,Serranidae,Paralabrax
Cabrilla del pacifico,Paralabrax sp,group,Paralabrax sp,NA,NA,NA,NA,NA,NA
Flander,Paralichthyidae,group,Paralichthyidae,NA,NA,NA,NA,NA,NA
Lenguado,Paralichthys sp,group,Paralichthys sp,NA,NA,NA,NA,NA,NA
Sol,Paralichthys sp,group,Paralichthys sp,NA,NA,NA,NA,NA,NA
Boca colorada,Paralichthys sp,group,Paralichthys sp,NA,NA,NA,NA,NA,NA
Lenguado moteado,Paralichthys sp,group,Paralichthys sp,NA,NA,NA,NA,NA,NA
Boca de dios,Paralichthys sp,group,Paralichthys sp,NA,NA,NA,NA,NA,NA
Cardenal,Paranthias colonus,species,Paranthias colonus,Pacific creole-fish,fish,Actinopterygii,Perciformes,Serranidae,Paranthias
