"state","port_complex_orig","port_complex1","port_complex2","port_complex3","port_complex4","county","port","type","lat_dd","long_dd"
"California","Eureka","Eureka","Eureka","20 - Eureka","Del Norte, Humboldt","Humboldt","Shelter Cove","individual",40.0304212,-124.0730866
"California","San Francisco","San Francisco","San Francisco","40 - San Francisco","San Francisco, San Mateo","San Mateo","South San Francisco","individual",37.654656,-122.4077498
"California","Sacramento Delta","Sacramento Delta","Sacramento Delta","30 - Sacramento Delta","Sacramento, San Joaquin","San Joaquin","Stockton","individual",37.9577016,-121.2907796
"California","Los Angeles","Los Angeles","Los Angeles","70 - Los Angeles","Orange","Orange","Sunset Beach","individual",33.717778,-118.0725
"California","Santa Barbara","Santa Barbara","Santa Barbara","60 - Santa Barbara","San Luis Obispo, Santa Barbara, Ventura","Santa Barbara","Surf Beach","individual",34.6831139,-120.6064278
"California","Los Angeles","Los Angeles","Los Angeles","70 - Los Angeles","Los Angeles","Los Angeles","Terminal Island","individual",33.7428471,-118.2614332
"California","Bodega Bay, San Francisco","Bodega Bay","San Francisco","40 - San Francisco","Marin","Marin","Tomales Bay","individual",38.1712779,-122.9127726
"California","San Francisco","Bodega Bay","San Francisco","40 - San Francisco","Marin","Marin","Tomales Bay/Marshall","individual",38.1712779,-122.9127726
"California","Sacramento Delta","Sacramento Delta","Sacramento Delta","30 - Sacramento Delta","Sacramento, San Joaquin","San Joaquin","Tracy","individual",37.738056,-121.433889
"California","Eureka","Eureka","Eureka","10 - Del Norte","Del Norte, Humboldt","Humboldt","Trinidad","individual",41.059291,-124.1431246
"California","Sacramento Delta, San Francisco","Sacramento Delta","Sacramento Delta","Sacramento Delta","Not specified","Stanislaus","Turlock","individual",37.505833,-120.848889
"California","San Francisco","Unknown","Unknown","Unknown","San Francisco, San Mateo","Unknown","Unknown (spelling error)","individual",NA,NA
"California","San Francisco","San Francisco","San Francisco","40 - San Francisco","Solano, Yolo","Solano","Vallejo","individual",38.1040864,-122.2566367
"California","Santa Barbara","Santa Barbara","Santa Barbara","60 - Santa Barbara","San Luis Obispo, Santa Barbara, Ventura","Ventura","Ventura","individual",34.2804923,-119.2945199
"California","Fort Bragg","Fort Bragg","Eureka","20 - Eureka","Mendocino, Sonoma, Lake","Mendocino","Westport","individual",39.6357155,-123.783075
"California","Monterey","Monterey","Monterey","50 - Monterey","Monterey","Monterey","Willow Creek","individual",35.893341,-121.460848
"California","Los Angeles","Los Angeles","Los Angeles","70 - Los Angeles","Los Angeles","Los Angeles","Wilmington","individual",33.7857948,-118.2643567
