"year","lat_dd","sst_c"
1932,11.5,28.1345574855804
1932,12.5,28.4412122206254
1932,13.5,28.6805555025737
1932,14.5,28.7492042888295
1932,15.5,28.7222046852112
1932,16.5,28.4612269931369
1932,17.5,27.8744051797049
1932,18.5,27.3311664581299
1932,19.5,26.5230207443237
1932,20.5,26.1957287788391
1932,21.5,25.2392262050084
1932,22.5,23.8914349873861
1932,23.5,23.5162963867188
1932,24.5,22.2082440512521
1932,25.5,20.7020833492279
1932,26.5,19.7719506350431
1932,27.5,18.9080415725708
1932,28.5,18.0550416946411
1932,29.5,17.5678471459283
1932,30.5,17.3975001743862
1932,31.5,16.8393751382828
1932,32.5,16.1224308013916
1932,33.5,15.9050693511963
1933,10.5,27.2246669769287
1933,11.5,27.6610155105591
1933,12.5,28.0079734108665
1933,13.5,28.2630729675293
1933,14.5,28.3184089660645
1933,15.5,28.2638713518778
1933,16.5,27.9819208780924
1933,17.5,27.3941664014544
1933,18.5,26.8612087249756
1933,19.5,26.0059375762939
1933,20.5,25.5245313644409
1933,21.5,24.2838393620082
1933,22.5,22.6272917853461
1933,23.5,22.00037044949
1933,24.5,20.4819047110421
1933,25.5,18.9861981868744
1933,26.5,18.2621591741388
1933,27.5,17.5814584732056
1933,28.5,16.9647916793823
1933,29.5,16.6482639312744
1933,30.5,16.5675889423915
1933,31.5,16.1292186975479
1933,32.5,15.4109722773234
1933,33.5,15.2191667556763
1934,10.5,27.3534999847412
1934,11.5,27.8136715888977
1934,12.5,28.2091856869784
1934,13.5,28.4947398503621
1934,14.5,28.6114018180154
1934,15.5,28.6409203211466
1934,16.5,28.4774534437392
1934,17.5,27.9485419137137
1934,18.5,27.4126251220703
1934,19.5,26.5136976242065
1934,20.5,26.0520830154419
1934,21.5,24.8980358668736
1934,22.5,23.4804859161377
1934,23.5,23.0717364417182
1934,24.5,21.8533036368234
1934,25.5,20.5820310115814
1934,26.5,19.9532007737593
1934,27.5,19.3095001220703
1934,28.5,18.6953542709351
1934,29.5,18.3248149024116
1934,30.5,18.1865174429757
1934,31.5,17.6976823806763
1934,32.5,16.8612505594889
1934,33.5,16.5543746948242
1935,10.5,27.0986667633057
1935,11.5,27.5260417461395
1935,12.5,27.9123861139471
1935,13.5,28.2093056042989
1935,14.5,28.3579925190319
1935,15.5,28.3952258427938
1935,16.5,28.2991896735297
1935,17.5,27.8590777260917
1935,18.5,27.4040836334229
1935,19.5,26.6410417556763
1935,20.5,26.2121353149414
1935,21.5,25.1416664123535
1935,22.5,23.703310224745
1935,23.5,23.250763575236
1935,24.5,21.9796431405204
1935,25.5,20.5971875190735
1935,26.5,19.8561742955988
1935,27.5,19.1090000152588
1935,28.5,18.3661874771118
1935,29.5,17.9049074384901
1935,30.5,17.6836902073451
1935,31.5,17.1374998092651
1935,32.5,16.2772922515869
1935,33.5,15.9691670735677
1936,10.5,27.5503330230713
1936,11.5,27.970520734787
1936,12.5,28.2610605413263
1936,13.5,28.4640800158183
1936,14.5,28.5209090492942
1936,15.5,28.5290282567342
1936,16.5,28.3390744527181
1936,17.5,27.8355058942522
1936,18.5,27.3389167785645
1936,19.5,26.5603647232056
1936,20.5,26.1470832824707
1936,21.5,25.1932740892683
1936,22.5,23.9530787997776
1936,23.5,23.5163427988688
1936,24.5,22.2945240565709
1936,25.5,20.9274740219116
1936,26.5,20.1765717593106
1936,27.5,19.43268699646
1936,28.5,18.7592708587646
1936,29.5,18.3689810434977
1936,30.5,18.2268456050328
1936,31.5,17.7631771564484
1936,32.5,16.9518750508626
1936,33.5,16.6348616282145
1937,10.5,27.621875
1937,11.5,28.0983850955963
1937,12.5,28.4755677309903
1937,13.5,28.7460246086121
1937,14.5,28.8606251803311
1937,15.5,28.845364411672
1937,16.5,28.645763821072
1937,17.5,28.1246130807059
1937,18.5,27.6413333892822
1937,19.5,26.8398957252502
1937,20.5,26.4396347999573
1937,21.5,25.4008928026472
1937,22.5,24.0047221713596
1937,23.5,23.5201161702474
1937,24.5,22.1885713849749
1937,25.5,20.7110679149628
1937,26.5,19.8938447778875
1937,27.5,19.1086460113525
1937,28.5,18.3486249923706
1937,29.5,17.9012035793728
1937,30.5,17.7448215484619
1937,31.5,17.2415363788605
1937,32.5,16.4783331553141
1937,33.5,16.2420139312744
1938,10.5,27.0742076873779
1938,11.5,27.5892186164856
1938,12.5,28.0053787231445
1938,13.5,28.3191146850586
1938,14.5,28.4483521201394
1938,15.5,28.4854863484701
1938,16.5,28.3640973832872
1938,17.5,27.9433928898403
1938,18.5,27.5318752288818
1938,19.5,26.8626561164856
1938,20.5,26.5959897041321
1938,21.5,25.6651485988072
1938,22.5,24.3125921885173
1938,23.5,23.8130319383409
1938,24.5,22.472083227975
1938,25.5,20.9479167461395
1938,26.5,20.1263824809681
1938,27.5,19.3502500534058
1938,28.5,18.5970623016357
1938,29.5,18.1310416327582
1938,30.5,17.9458332061768
1938,31.5,17.4499740600586
1938,32.5,16.6804167429606
1938,33.5,16.4477774302165
1939,10.5,27.2953742980957
1939,11.5,27.7390627861023
1939,12.5,28.1511362249201
1939,13.5,28.4898958206177
1939,14.5,28.6272348924117
1939,15.5,28.6506943702698
1939,16.5,28.4447453816732
1939,17.5,27.9446432931083
1939,18.5,27.5030830383301
1939,19.5,26.7639064788818
1939,20.5,26.4273443222046
1939,21.5,25.4294043949672
1939,22.5,24.0929395887587
1939,23.5,23.6821528540717
1939,24.5,22.4462795257568
1939,25.5,21.0768487453461
1939,26.5,20.3529924912886
1939,27.5,19.6421669006348
1939,28.5,18.8878957748413
1939,29.5,18.4134489695231
1939,30.5,18.2221728733608
1939,31.5,17.590416431427
1939,32.5,16.7988192240397
1939,33.5,16.489444732666
1940,10.5,27.8268749237061
1940,11.5,28.2414584159851
1940,12.5,28.5155681263317
1940,13.5,28.6553993225098
1940,14.5,28.6635984940962
1940,15.5,28.6317359606425
1940,16.5,28.4758794572618
1940,17.5,28.020357131958
1940,18.5,27.5991668701172
1940,19.5,26.8998436927795
1940,20.5,26.5563015937805
1940,21.5,25.565922328404
1940,22.5,24.2442128923204
1940,23.5,23.7888887193468
1940,24.5,22.5449112483433
1940,25.5,21.1989583969116
1940,26.5,20.4883901422674
1940,27.5,19.7731460571289
1940,28.5,19.0643957138062
1940,29.5,18.6440043979221
1940,30.5,18.4567260742188
1940,31.5,17.9843492507935
1940,32.5,17.1868756612142
1940,33.5,16.9298617045085
1941,10.5,28.2705001831055
1941,11.5,28.6227083206177
1941,12.5,28.8654734871604
1941,13.5,29.0231943130493
1941,14.5,29.0274049585516
1941,15.5,28.9698092142741
1941,16.5,28.7248840332031
1941,17.5,28.2406845092773
1941,18.5,27.838166809082
1941,19.5,27.167603969574
1941,20.5,26.8961462974548
1941,21.5,25.9786605834961
1941,22.5,24.7021755642361
1941,23.5,24.2257177564833
1941,24.5,22.9427680969238
1941,25.5,21.5112760066986
1941,26.5,20.7605304718018
1941,27.5,20.0317081451416
1941,28.5,19.3182289123535
1941,29.5,18.8889355129666
1941,30.5,18.7360711778913
1941,31.5,18.3224482536316
1941,32.5,17.5435415903727
1941,33.5,17.3058331807454
1942,10.5,27.7327083587646
1942,11.5,28.2487239837646
1942,12.5,28.6364586570046
1942,13.5,28.9087155659993
1942,14.5,29.0013828277588
1942,15.5,28.9791663487752
1942,16.5,28.7914585537381
1942,17.5,28.2705655779157
1942,18.5,27.7747505187988
1942,19.5,27.0451040267944
1942,20.5,26.6720314025879
1942,21.5,25.7107742854527
1942,22.5,24.3503008948432
1942,23.5,23.7900462680393
1942,24.5,22.4344643184117
1942,25.5,20.9286715984344
1942,26.5,20.1143561276523
1942,27.5,19.3594375610352
1942,28.5,18.6364374160767
1942,29.5,18.2095370822483
1942,30.5,18.0101787022182
1942,31.5,17.5051302909851
1942,32.5,16.707986831665
1942,33.5,16.4783331553141
1943,10.5,27.374333190918
1943,11.5,27.7779948711395
1943,12.5,28.1273671930487
1943,13.5,28.4396351178487
1943,14.5,28.6268938237971
1943,15.5,28.7208159764608
1943,16.5,28.6252778371175
1943,17.5,28.1344645363944
1943,18.5,27.6655410766602
1943,19.5,26.9343752861023
1943,20.5,26.6965103149414
1943,21.5,25.864047731672
1943,22.5,24.6996760898166
1943,23.5,24.398032506307
1943,24.5,23.2236012050084
1943,25.5,21.7202863693237
1943,26.5,20.7967803261497
1943,27.5,19.9835414886475
1943,28.5,19.1522085189819
1943,29.5,18.6569215986464
1943,30.5,18.4344940185547
1943,31.5,17.8924739360809
1943,32.5,17.0837497711182
1943,33.5,16.8101387023926
1944,10.5,27.3375
1944,11.5,27.7397916316986
1944,12.5,28.0409469604492
1944,13.5,28.2569446563721
1944,14.5,28.314583344893
1944,15.5,28.2850344975789
1944,16.5,28.1366204155816
1944,17.5,27.6538690839495
1944,18.5,27.2010833740234
1944,19.5,26.4809894561768
1944,20.5,26.1934895515442
1944,21.5,25.3064289093018
1944,22.5,24.0122687021891
1944,23.5,23.5190277099609
1944,24.5,22.079761505127
1944,25.5,20.4591145515442
1944,26.5,19.5681819915771
1944,27.5,18.7115417480469
1944,28.5,17.9711666107178
1944,29.5,17.53444480896
1944,30.5,17.3554464067732
1944,31.5,16.9589321613312
1944,32.5,16.2354863484701
1944,33.5,16.1079168319702
1945,10.5,27.4972496032715
1945,11.5,27.9731771945953
1945,12.5,28.3849806352095
1945,13.5,28.684149424235
1945,14.5,28.765643900091
1945,15.5,28.7031599680583
1945,16.5,28.38918961419
1945,17.5,27.7888093675886
1945,18.5,27.2726249694824
1945,19.5,26.4757294654846
1945,20.5,26.1410942077637
1945,21.5,25.1259525844029
1945,22.5,23.7799538506402
1945,23.5,23.3497454325358
1945,24.5,22.0833034515381
1945,25.5,20.6572136878967
1945,26.5,19.8819505518133
1945,27.5,19.1503335952759
1945,28.5,18.3910207748413
1945,29.5,17.9159490797255
1945,30.5,17.676666532244
1945,31.5,17.1688280105591
1945,32.5,16.3724308013916
1945,33.5,16.1290280024211
1946,10.5,27.1972503662109
1946,11.5,27.6536719799042
1946,12.5,28.1099057631059
1946,13.5,28.4920310974121
1946,14.5,28.6979923248291
1946,15.5,28.7433331807454
1946,16.5,28.5698377821181
1946,17.5,28.0443156106131
1946,18.5,27.5375835418701
1946,19.5,26.7101039886475
1946,20.5,26.3362498283386
1946,21.5,25.3003869737898
1946,22.5,23.9479397667779
1946,23.5,23.4997685750326
1946,24.5,22.1719049726214
1946,25.5,20.7029948234558
1946,26.5,19.9100946946578
1946,27.5,19.1622081756592
1946,28.5,18.415604019165
1946,29.5,17.9782638549805
1946,30.5,17.818601335798
1946,31.5,17.3037760257721
1946,32.5,16.5822219848633
1946,33.5,16.3460413614909
1947,10.5,27.4509582519531
1947,11.5,27.8866667747498
1947,12.5,28.2308143268932
1947,13.5,28.4633506139119
1947,14.5,28.5249623385343
1947,15.5,28.4661631584167
1947,16.5,28.1769676208496
1947,17.5,27.5414284297398
1947,18.5,26.9480834960938
1947,19.5,26.0750002861023
1947,20.5,25.6644792556763
1947,21.5,24.6302678244455
1947,22.5,23.2925927903917
1947,23.5,22.887916776869
1947,24.5,21.6594349997384
1947,25.5,20.3174479007721
1947,26.5,19.6235606453635
1947,27.5,18.9294372558594
1947,28.5,18.2713125228882
1947,29.5,17.9243286980523
1947,30.5,17.8429467337472
1947,31.5,17.4880728721619
1947,32.5,16.7740968068441
1947,33.5,16.539722442627
1948,10.5,27.6143745422363
1948,11.5,28.0083332061768
1948,12.5,28.3289583379572
1948,13.5,28.5914929707845
1948,14.5,28.7461932789196
1948,15.5,28.8241144816081
1948,16.5,28.7603471544054
1948,17.5,28.3287800380162
1948,18.5,27.8739166259766
1948,19.5,27.0372915267944
1948,20.5,26.6039581298828
1948,21.5,25.4159521375384
1948,22.5,23.8716668023003
1948,23.5,23.3203474680583
1948,24.5,21.9310414450509
1948,25.5,20.4216668605804
1948,26.5,19.5856439417059
1948,27.5,18.769041633606
1948,28.5,17.9887289047241
1948,29.5,17.4933795928955
1948,30.5,17.2575890677316
1948,31.5,16.8134112358093
1948,32.5,15.9838886260986
1948,33.5,15.7354863484701
1949,10.5,27.3365001678467
1949,11.5,27.8659896850586
1949,12.5,28.3495455655185
1949,13.5,28.7060418128967
1949,14.5,28.823598168113
1949,15.5,28.7869790395101
1949,16.5,28.5580787658691
1949,17.5,28.0164585113525
1949,18.5,27.4925834655762
1949,19.5,26.6528644561768
1949,20.5,26.2034893035889
1949,21.5,25.006101335798
1949,22.5,23.4411341349284
1949,23.5,22.8862039777968
1949,24.5,21.4834226880755
1949,25.5,20.040078163147
1949,26.5,19.3246590007435
1949,27.5,18.6419586181641
1949,28.5,17.9735834121704
1949,29.5,17.5751387278239
1949,30.5,17.4247918810163
1949,31.5,16.9427599906921
1949,32.5,16.1766665776571
1949,33.5,15.9320141474406
1950,10.5,26.8965412139893
1950,11.5,27.4768490791321
1950,12.5,28.0345836986195
1950,13.5,28.4752607345581
1950,14.5,28.6439389315518
1950,15.5,28.6336108843486
1950,16.5,28.3861573537191
1950,17.5,27.8428870609828
1950,18.5,27.3816665649414
1950,19.5,26.6567182540894
1950,20.5,26.3725519180298
1950,21.5,25.3337503160749
1950,22.5,23.81287044949
1950,23.5,23.2155558268229
1950,24.5,21.6814286368234
1950,25.5,20.0702605247498
1950,26.5,19.2736174843528
1950,27.5,18.5277292251587
1950,28.5,17.8799373626709
1950,29.5,17.5300924513075
1950,30.5,17.3736607687814
1950,31.5,16.9214842319489
1950,32.5,16.0602089564006
1950,33.5,15.7891664505005
1951,10.5,27.738708114624
1951,11.5,28.1136980056763
1951,12.5,28.3786742470481
1951,13.5,28.5825695991516
1951,14.5,28.6275567141446
1951,15.5,28.6164933840434
1951,16.5,28.3851157294379
1951,17.5,27.8713983808245
1951,18.5,27.4095413208008
1951,19.5,26.7001042366028
1951,20.5,26.4417185783386
1951,21.5,25.5365175519671
1951,22.5,24.2337960137261
1951,23.5,23.8256248897976
1951,24.5,22.5071427481515
1951,25.5,20.9791922569275
1951,26.5,20.0705301111395
1951,27.5,19.2247499465942
1951,28.5,18.355083656311
1951,29.5,17.8133561876085
1951,30.5,17.562440599714
1951,31.5,17.0546092987061
1951,32.5,16.2701384226481
1951,33.5,16.0296529134115
1952,10.5,27.800541305542
1952,11.5,28.2371094226837
1952,12.5,28.5653412558816
1952,13.5,28.8023088773092
1952,14.5,28.8705113150857
1952,15.5,28.8278822898865
1952,16.5,28.5965277353923
1952,17.5,28.0770239148821
1952,18.5,27.5891250610352
1952,19.5,26.8778128623962
1952,20.5,26.58744764328
1952,21.5,25.6658036368234
1952,22.5,24.3397685156928
1952,23.5,23.8645600212945
1952,24.5,22.4430359431676
1952,25.5,20.7877080440521
1952,26.5,19.8088637265292
1952,27.5,18.8880832672119
1952,28.5,18.040333366394
1952,29.5,17.5331713358561
1952,30.5,17.3224111284528
1952,31.5,16.8526821136475
1952,32.5,16.098264058431
1952,33.5,15.8799308141073
1953,10.5,27.9713748931885
1953,11.5,28.3545832633972
1953,12.5,28.6510796980424
1953,13.5,28.8895134925842
1953,14.5,28.9931250485507
1953,15.5,29.0074823697408
1953,16.5,28.8369676801893
1953,17.5,28.305029460362
1953,18.5,27.8196250915527
1953,19.5,27.0143227577209
1953,20.5,26.6767711639404
1953,21.5,25.6208629608154
1953,22.5,24.141759024726
1953,23.5,23.6407178243001
1953,24.5,22.1659818376814
1953,25.5,20.515077829361
1953,26.5,19.5860985842618
1953,27.5,18.7781248092651
1953,28.5,18.0187915802002
1953,29.5,17.5855558183458
1953,30.5,17.4227382114955
1953,31.5,16.965390920639
1953,32.5,16.1730556488037
1953,33.5,15.8986810048421
1954,10.5,27.335916519165
1954,11.5,27.8847396373749
1954,12.5,28.3340150659735
1954,13.5,28.6161802609762
1954,14.5,28.7207764712247
1954,15.5,28.7132986386617
1954,16.5,28.5560184054905
1954,17.5,28.0968750544957
1954,18.5,27.6708335876465
1954,19.5,26.9318752288818
1954,20.5,26.5590100288391
1954,21.5,25.4590181623186
1954,22.5,23.9301855299208
1954,23.5,23.3850233289931
1954,24.5,21.9793153490339
1954,25.5,20.4842188358307
1954,26.5,19.7100946252996
1954,27.5,18.9832294464111
1954,28.5,18.2580001831055
1954,29.5,17.8503473069933
1954,30.5,17.6949699946812
1954,31.5,17.2328383922577
1954,32.5,16.4731248219808
1954,33.5,16.2115971247355
1955,10.5,27.2783748626709
1955,11.5,27.7795312404633
1955,12.5,28.1979165510698
1955,13.5,28.452187538147
1955,14.5,28.4709847190163
1955,15.5,28.322986125946
1955,16.5,27.9110647837321
1955,17.5,27.2323216029576
1955,18.5,26.6805416107178
1955,19.5,25.8842706680298
1955,20.5,25.5523958206177
1955,21.5,24.4772322518485
1955,22.5,22.991273244222
1955,23.5,22.4756480322944
1955,24.5,21.0728566305978
1955,25.5,19.6126306056976
1955,26.5,18.9056249098344
1955,27.5,18.2623334884644
1955,28.5,17.6494581222534
1955,29.5,17.3175226847331
1955,30.5,17.2088988167899
1955,31.5,16.6694009304047
1955,32.5,15.8922917048136
1955,33.5,15.5874999364217
1956,10.5,27.5063747406006
1956,11.5,27.9336457252502
1956,12.5,28.2883524461226
1956,13.5,28.5584373474121
1956,14.5,28.6441476995295
1956,15.5,28.6203474998474
1956,16.5,28.3655094570584
1956,17.5,27.8494644165039
1956,18.5,27.4313331604004
1956,19.5,26.7229170799255
1956,20.5,26.5217704772949
1956,21.5,25.593839100429
1956,22.5,24.2465506659614
1956,23.5,23.8587265014648
1956,24.5,22.5034820011684
1956,25.5,20.9251561164856
1956,26.5,19.9673676924272
1956,27.5,19.093770980835
1956,28.5,18.2229167938232
1956,29.5,17.6758562723796
1956,30.5,17.3861607142857
1956,31.5,16.7992187738419
1956,32.5,15.9336112340291
1956,33.5,15.6542364756266
1957,10.5,28.3082080841064
1957,11.5,28.6486196517944
1957,12.5,28.9053599617698
1957,13.5,29.1130207379659
1957,14.5,29.1837120056152
1957,15.5,29.1679862340291
1957,16.5,28.9689350128174
1957,17.5,28.4798810141427
1957,18.5,28.0312915802002
1957,19.5,27.2835416793823
1957,20.5,26.9653129577637
1957,21.5,25.9860717228481
1957,22.5,24.6436807844374
1957,23.5,24.2647914886475
1957,24.5,23.0041070665632
1957,25.5,21.5461454391479
1957,26.5,20.7020265405828
1957,27.5,19.9139375686646
1957,28.5,19.1003545761108
1957,29.5,18.6289579603407
1957,30.5,18.4418751852853
1957,31.5,17.9117448329926
1957,32.5,17.1483338673909
1957,33.5,16.8797225952148
1958,10.5,28.4566665649414
1958,11.5,28.832968711853
1958,12.5,29.0679357702082
1958,13.5,29.215833346049
1958,14.5,29.2190908952193
1958,15.5,29.1655383110046
1958,16.5,28.9525924258762
